car,model_year,country,mileage,no_of_cylinders,displacement,hp,weight,acceleration,price
chevrolet chevelle malibu,1970,USA,18.0,8.0,307.0,130.0,3504.0,12.0,25561.59078
buick skylark 320,1970,USA,15.0,8.0,350.0,165.0,3693.0,11.5,24221.42273
plymouth satellite,1970,USA,18.0,8.0,318.0,150.0,3436.0,11.0,27240.84373
amc rebel sst,1970,USA,16.0,8.0,304.0,150.0,3433.0,12.0,33684.96888
ford torino,1970,USA,17.0,8.0,302.0,140.0,3449.0,10.5,20000.0
ford galaxie 500,1970,USA,15.0,8.0,429.0,198.0,4341.0,10.0,30000.0
chevrolet impala,1970,USA,14.0,8.0,454.0,220.0,4354.0,9.0,35764.3349
plymouth fury iii,1970,USA,14.0,8.0,440.0,215.0,4312.0,8.5,25899.46557
pontiac catalina,1970,USA,14.0,8.0,455.0,225.0,4425.0,10.0,32882.53714
amc ambassador dpl,1970,USA,15.0,8.0,390.0,190.0,3850.0,8.5,32617.05928
dodge challenger se,1970,USA,15.0,8.0,383.0,170.0,3563.0,10.0,30000.0
plymouth 'cuda 340,1970,USA,14.0,8.0,340.0,160.0,3609.0,8.0,33034.92261
chevrolet monte carlo,1970,USA,15.0,8.0,400.0,150.0,3761.0,9.5,30000.0
buick estate wagon (sw),1970,USA,14.0,8.0,455.0,225.0,3086.0,10.0,26608.32842
toyota corona mark ii,1970,Japan,24.0,4.0,113.0,95.0,2372.0,15.0,36927.0666
plymouth duster,1970,USA,22.0,6.0,198.0,95.0,2833.0,15.5,12561.10337
amc hornet,1970,USA,18.0,6.0,199.0,97.0,2774.0,15.5,24260.62236
ford maverick,1970,USA,21.0,6.0,200.0,85.0,2587.0,16.0,14228.30388
datsun pl510,1970,Japan,27.0,4.0,97.0,88.0,2130.0,14.5,15802.23935
volkswagen 1131 deluxe sedan,1970,Europe,26.0,4.0,97.0,46.0,1835.0,20.5,27471.29241
peugeot 504,1970,Europe,25.0,4.0,110.0,87.0,2672.0,17.5,40000.0
audi 100 ls,1970,Europe,24.0,4.0,107.0,90.0,2430.0,14.5,35897.43951
saab 99e,1970,Europe,25.0,4.0,104.0,95.0,2375.0,17.5,16905.84258
bmw 2002,1970,Europe,26.0,4.0,121.0,113.0,2234.0,12.5,15047.98937
amc gremlin,1970,USA,21.0,6.0,199.0,90.0,2648.0,15.0,14045.89513
ford f250,1970,USA,10.0,8.0,360.0,215.0,4615.0,14.0,25797.48544
chevy c20,1970,USA,10.0,8.0,307.0,200.0,4376.0,15.0,40000.0
dodge d200,1970,USA,11.0,8.0,318.0,210.0,4382.0,13.5,24928.42041
hi 1200d,1970,USA,9.0,8.0,304.0,193.0,4732.0,18.5,45072.56865
datsun pl510,1971,Japan,27.0,4.0,97.0,88.0,2130.0,14.5,16992.08152
chevrolet vega 2300,1971,USA,28.0,4.0,140.0,90.0,2264.0,15.5,13206.433
toyota corona,1971,Japan,25.0,4.0,113.0,95.0,2228.0,14.0,27078.79795
ford pinto,1971,USA,25.0,4.0,98.0,0.0,2046.0,19.0,26417.43542
amc gremlin,1971,USA,19.0,6.0,232.0,100.0,2634.0,13.0,30000.0
plymouth satellite custom,1971,USA,16.0,6.0,225.0,105.0,3439.0,15.5,44534.97074
